Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
cemetry,9,0.047594704,2.38,157633,627x482,4.1727,,,,,,
cemetry,10,0.046288011,2.25,148491,627x482,3.9307,,,,,,
cemetry,11,0.046301181,2.24,140325,627x482,3.7145,,,,,,
cemetry,12,0.045200329,2.18,132647,627x482,3.5113,,,,,,
cemetry,13,0.044662708,2.17,126167,627x482,3.3398,,,,,,
cemetry,14,0.044386907,2.13,120254,627x482,3.1832,,,,,,
cemetry,15,0.042903703,2.09,114736,627x482,3.0372,,,,,,
cemetry,16,0.043038224,2.12,108313,627x482,2.8671,,,,,,
cemetry,17,0.041799041,2.04,103689,627x482,2.7447,,,,,,
cemetry,18,0.041876462,2,99428,627x482,2.6319,,,,,,
cemetry,19,0.04149376,2.01,95346,627x482,2.5239,,,,,,
cemetry,20,0.041642161,2.04,91274,627x482,2.4161,,,,,,
cemetry,21,0.0410787,2.03,87923,627x482,2.3274,,,,,,
cemetry,22,0.040267638,1.97,84735,627x482,2.243,,,,,,
cemetry,23,0.040522298,2.02,81776,627x482,2.1647,,,,,,
cemetry,24,0.039435126,1.93,78340,627x482,2.0737,,,,,,
cemetry,25,0.038729864,1.84,73181,627x482,1.9371,,,,,,
cemetry,26,0.038762224,1.94,68765,627x482,1.8202,,,,,,
cemetry,27,0.038010773,1.86,64720,627x482,1.7132,,,,,,
cemetry,28,0.037635752,1.85,61125,627x482,1.618,,,,,,
cemetry,29,0.037312821,1.8,57888,627x482,1.5323,,,,,,
cemetry,30,0.036951581,1.78,54949,627x482,1.4545,,,,,,
cemetry,31,0.036051699,1.74,50450,627x482,1.3354,,,,,,
cemetry,32,0.035589658,1.75,47009,627x482,1.2443,,,,,,
cemetry,33,0.035677028,1.73,44019,627x482,1.1652,,,,,,
cemetry,34,0.034993656,1.7,41325,627x482,1.0939,,,,,,
cemetry,35,0.034254035,1.72,38393,627x482,1.0163,,,,,,
cemetry,36,0.034062725,1.65,35682,627x482,0.9445,,,,,,
cemetry,37,0.033904374,1.64,33210,627x482,0.8791,,,,,,
cemetry,38,0.033573663,1.71,30786,627x482,0.8149,,,,,,
cemetry,39,0.033382293,1.61,28524,627x482,0.755,,,,,,
cemetry,40,0.032582131,1.53,26639,627x482,0.7051,,,,,,
cemetry,41,0.032741641,1.6,24634,627x482,0.652,,,,,,
cemetry,42,0.03217157,1.54,22844,627x482,0.6047,,,,,,
cemetry,43,0.031401218,1.5,21120,627x482,0.559,,,,,,
cemetry,44,0.031684729,1.52,19502,627x482,0.5162,,,,,,
cemetry,45,0.033046492,1.71,17923,627x482,0.4744,,,,,,
cemetry,46,0.030922577,1.49,16423,627x482,0.4347,,,,,,
cemetry,47,0.030919818,1.5,15134,627x482,0.4006,,,,,,
cemetry,48,0.030452116,1.44,13861,627x482,0.3669,,,,,,
cemetry,49,0.030175996,1.45,12650,627x482,0.3348,,,,,,
cemetry,50,0.029960626,1.44,11582,627x482,0.3065,,,,,,
cemetry,51,0.030348946,1.46,10591,627x482,0.2803,,,,,,
cemetry,52,0.030065356,1.51,9649,627x482,0.2554,,,,,,
cemetry,53,0.030150076,1.42,8824,627x482,0.2335,,,,,,
cemetry,54,0.029863325,1.42,8021,627x482,0.2123,,,,,,
cemetry,55,0.029254053,1.42,7278,627x482,0.1926,,,,,,
cemetry,56,0.029301774,1.41,6569,627x482,0.1738,,,,,,
cemetry,57,0.029468924,1.43,5919,627x482,0.1566,,,,,,
cemetry,58,0.029017543,1.39,5319,627x482,0.1408,,,,,,
cemetry,59,0.029055164,1.44,4752,627x482,0.1257,,,,,,
cemetry,60,0.028569512,1.45,4158,627x482,0.11,,,,,,
cemetry,61,0.028465932,1.37,3647,627x482,0.0965,,,,,,
cemetry,62,0.028644462,1.33,3071,627x482,0.0812,,,,,,
cemetry,63,0.028212162,1.33,2385,627x482,0.0631,,,,,,
churchandcapitol,0,0.072663828,3.5,415903,634x505,10.392,,,,,,
churchandcapitol,1,0.062848147,3.14,305823,634x505,7.6415,,,,,,
churchandcapitol,2,0.056647004,2.68,255960,634x505,6.3956,,,,,,
churchandcapitol,3,0.053718837,2.57,221401,634x505,5.532,,,,,,
churchandcapitol,4,0.051309792,2.54,197060,634x505,4.9238,,,,,,
churchandcapitol,5,0.050105299,2.54,177044,634x505,4.4237,,,,,,
churchandcapitol,6,0.049088657,2.43,161213,634x505,4.0281,,,,,,
churchandcapitol,7,0.047660804,2.35,147735,634x505,3.6914,,,,,,
churchandcapitol,8,0.046776222,2.2,137294,634x505,3.4305,,,,,,
churchandcapitol,9,0.045642989,2.22,127383,634x505,3.1828,,,,,,
churchandcapitol,10,0.044774218,2.15,119629,634x505,2.9891,,,,,,
